rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
59,identify,B2,verb,xác định,Identify different types of apples,Nhận biết các loại táo,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
60,transportation,B2,noun,vận chuyển,"If you use the public buses, the amount of money you must pay for transportation is little",Nếu bạn sử dụng xe buýt công cộng thì số tiền bạn phải trả cho việc di chuyển là rất ít,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
61,variable,B2,adjective,biến,British weather is perhaps at its most variable in the spring.,Thời tiết ở Anh có lẽ thay đổi nhiều nhất vào mùa xuân.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
62,construction,B2,noun,xây dựng,The construction began this year and will take approximately 18 months.,Việc xây dựng bắt đầu trong năm nay và sẽ mất khoảng 18 tháng.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
63,objective,B2,noun,mục tiêu,The company sets objectives before doing the task,Công ty đặt ra mục tiêu trước khi thực hiện nhiệm vụ,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
64,category,B2,noun,hạng mục,There are four categories of accommodation,Có bốn loại chỗ ở,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
65,investment,B2,noun,đầu tư,This country needs investment in education.,Đất nước này cần đầu tư vào giáo dục.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
66,commercial,B2,adjective,thương mại,He did a number of commercials for major brands.,Anh ấy đã thực hiện một số quảng cáo cho các thương hiệu lớn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
67,population,B2,noun,dân số,The population of the city has been steadily increasing over the past decade.,Dân số của thành phố đã tăng đều đặn trong thập kỷ qua.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
68,payment,B2,noun,thanh toán,He made a paymen to the seller,Anh ta đã trả tiền cho người bán,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
69,budget,B2,noun,ngân sách,The iPhone SE has a budget price,IPhone SE có mức giá bình dân,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
70,development,B2,noun,sự phát triển,This is a perfectly normal stage of development.,Đây là giai đoạn phát triển hoàn toàn bình thường.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
71,consumption,B2,noun,tiêu thụ,The consumption of handbags rises this year,Tiêu thụ túi xách tăng trong năm nay,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
72,methodology,C2,noun,phương pháp,They use 4 different methodologies to carry out the research,Họ sử dụng 4 phương pháp khác nhau để thực hiện nghiên cứu,C2 quota; Octanove C1/C2 profile + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
73,assignment,B2,noun,nhiệm vụ,I have a lot of reading assignments to complete before the end of term,Tôi có rất nhiều bài tập đọc phải hoàn thành trước khi kết thúc học kỳ,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
74,transport,B2,noun,vận chuyển,The helicopter is transported to the airport,Chiếc trực thăng được vận chuyển đến sân bay,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
75,admission,B2,noun,sự nhập học,The club refuses admission to those under 18.,Câu lạc bộ từ chối nhận những người dưới 18 tuổi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
76,parameter,B2,noun,tham số,The lecturer explained why parameter was important to the topic.,Giảng viên giải thích tại sao tham số lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
77,employee,B2,noun,nhân viên,The lecturer explained why employee was important to the topic.,Giảng viên giải thích tại sao nhân viên lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
78,energy,B2,noun,năng lượng,"After a good night's sleep, I woke up full of energy.","Sau một đêm ngon giấc, tôi thức dậy tràn đầy năng lượng.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
79,traffic,B2,noun,giao thông,The lecturer explained why traffic was important to the topic.,Giảng viên giải thích tại sao giao thông lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
80,curriculum,C2,noun,chương trình giảng dạy,The lecturer explained why curriculum was important to the topic.,Giảng viên giải thích tại sao chương trình giảng dạy lại quan trọng đối với chủ đề này.,C2 quota; Octanove C1/C2 profile + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
81,certificate,B2,noun,giấy chứng nhận,"When you finish this course, you will receive a certificate of achievement.","Khi hoàn thành khóa học này, bạn sẽ nhận được chứng chỉ thành tích.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
